city,lat,lng
Agen,44.20041445,0.633335733
Aix,43.51999086,5.449992634
Amiens,49.90037661,2.300004027
Angers,47.48000755,-0.530029949
Basse-Terre,15.9985400,-61.7254800
Bastia,42.70316734,9.450006875
Besançon,47.22999697,6.03000891
Bordeaux,44.85001304,-0.595013063
Bourges,47.08372683,2.399997923
Caen,49.18375368,-0.349989259
Chambéry,45.56667,5.93333
Colmar,48.08333,7.36667
Douai,50.36667,3.06667
Dijon,47.33040428,5.030018268
Fort de france,14.6104118,-61.08002914
Grenoble,45.18038047,5.720001992
Limoges,45.82997906,1.249990599
Lyon,45.77000856,4.830030475
Metz,49.1203467,6.180025593
Montpellier,43.61039878,3.869985716
Nancy,48.68368085,6.200024372
Nîmes,43.83038535,4.350008096
Orléans,47.90042116,1.900028441
Papeete,-17.53336261,-149.5666694
Paris,48.86669293,2.333335326
Pau,43.3,-0.3667
Poitiers,46.58329226,0.333276529
Reims,49.25039044,4.029975951
Rennes,48.10002138,-1.670012046
Riom,45.9,3.11667
Rouen,49.43040529,1.079975137
Saint denis,-20.87889484,55.44807776
Toulouse,43.61995892,1.449926716
Versailles,48.80046958,2.133347533